time,open,high,low,close,volume
1789060800,323.83,324.865,323.67,324.822,1379002
1789061400,324.84,325.68,324.35,325.1,2163824
1789062000,325.12,325.65,325.04,325.39,1005279
1789062600,325.395,325.5899,324.95,325.01,909637
1789063200,325.03,325.19,323.45,323.6,1111723
1789063800,323.6,323.94,323.38,323.795,813005
1789064400,323.795,324.47,323.73,324.12,841833
1789065000,324.1101,324.3799,323.63,324.25,608518
1789065600,324.23,324.9,324.11,324.84,694878
1789066200,324.84,325.5,324.7601,325.38,943637
1789066800,325.38,325.59,324.94,325.45,981498
1789067400,325.465,326.12,325.25,325.708,1310939
1789068000,325.7357,325.93,325.19,325.285,915973
1789068600,325.27,325.82,325.17,325.735,910526
1789069200,325.75,325.855,325.17,325.855,1142842
1789069800,325.85,326.68,325.54,326.57,10394111
1789133400,327.63,334.27,326.3,334.12,6001795
1789134000,334.12,334.16,331.01,331.7077,2566679
1789134600,331.6575,332.96,331.31,332.47,1391967
1789135200,332.405,332.93,331.77,332.495,1066232
1789135800,332.51,332.9,331.6601,332.18,864092
1789136400,332.17,334.59,332.04,334.0851,1812478
1789137000,334.0883,334.35,332.42,334.155,1791572
1789137600,334.155,334.9099,334.155,334.69,1537135
1789138200,334.675,335.43,334.56,334.96,2089063
1789138800,335.02,335.75,334.94,335.625,1385410
1789139400,335.625,336.22,335.44,335.6167,1257375
1789140000,335.6,335.83,335.0835,335.57,958312
1789140600,335.54,335.54,334.62,334.94,906537
1789141200,334.93,335.18,334.4,334.51,742221
1789141800,334.51,334.68,333.69,333.9175,940445
1789142400,333.94,334.5,333.63,334.499,714004
1789143000,334.4661,334.84,334.33,334.4,769106
1789143600,334.43,334.5699,333.9604,334.17,667392
1789144200,334.19,334.4408,333.93,334.2,535517
1789144800,334.2,334.435,333.93,334.41,474733
1789145400,334.43,334.83,334.3,334.745,454626
1789146000,334.745,334.85,334.211,334.39,375865
1789146600,334.39,334.47,333.9,333.94,379808
1789147200,333.935,334.365,333.83,333.95,359976
1789147800,333.96,334.3,333.38,333.48,554237
1789148400,333.495,333.67,332.92,333.1,631471
1789149000,333.11,333.47,332.74,333.38,750062
1789149600,333.375,333.8299,332.6,332.6601,801753
1789150200,332.68,332.9246,332.58,332.78,403553
1789150800,332.7801,333.06,332.55,332.855,431626
1789151400,332.86,333.13,332.74,333.0,457320
1789152000,333.02,333.179,332.39,332.56,485874
1789152600,332.5531,333.05,332.4207,332.52,664704
1789153200,332.5114,333.0,332.4,332.63,691618
1789153800,332.635,332.82,332.48,332.82,1406731
1789154400,332.815,332.92,332.48,332.6401,456852
1789155000,332.68,333.07,332.54,332.615,642704
1789155600,332.62,332.7992,332.41,332.71,674796
1789156200,332.7,332.89,332.07,332.27,7936366
1789392600,334.83,334.83,331.34,331.94,2789322
1789393200,331.8009,334.2,331.435,332.7301,1603687
1789393800,332.765,335.08,332.25,333.935,2097869
1789394400,333.935,334.63,333.665,334.24,865349
1789395000,334.22,334.2399,332.48,332.71,841003
1789395600,332.71,333.42,332.68,333.195,734158
1789396200,333.18,333.467,332.46,333.2,808095
1789396800,333.19,333.1981,332.4201,333.115,599566
1789397400,333.14,333.2,332.118,332.933,903984
1789398000,332.98,333.46,332.42,333.1,661512
1789398600,333.09,333.13,332.48,332.85,441884
1789399200,332.85,332.9,332.33,332.66,497406
1789399800,332.655,334.65,332.65,334.105,1060565
1789400400,334.11,334.95,333.95,334.88,713983
1789401000,334.8806,335.5,334.5001,335.04,979768
1789401600,335.06,335.49,334.45,334.9,641206
1789402200,334.91,335.13,334.5,334.79,471595
1789402800,334.8,334.87,334.31,334.585,475465
1789403400,334.59,334.86,334.1,334.795,482894
1789404000,334.79,335.02,334.57,334.87,442424
1789404600,334.88,335.26,334.54,334.86,489523
1789405200,334.855,334.9,334.19,334.3886,387883
1789405800,334.385,335.18,334.0,334.24,580386
1789406400,334.26,334.675,334.18,334.62,343936
1789407000,334.62,334.7099,334.265,334.6499,294716
1789407600,334.6664,334.715,334.34,334.34,253972
1789408200,334.36,334.405,333.8101,333.875,458645
1789408800,333.87,333.97,333.57,333.79,341950
1789409400,333.795,334.32,333.7601,334.19,316870
1789410000,334.1701,334.54,334.06,334.49,297595
1789410600,334.49,334.61,333.48,334.35,729338
1789411200,334.335,334.75,334.18,334.63,479116
1789411800,334.63,334.72,334.12,334.14,448779
1789412400,334.17,334.63,333.8427,334.6,627554
1789413000,334.6,335.42,334.59,335.1424,995158
1789413600,335.135,335.2399,334.29,334.4,630810
1789414200,334.3999,334.59,334.1735,334.535,612244
1789414800,334.54,334.57,333.782,333.87,757671
1789415400,333.85,334.41,333.0,333.08,8672087
1789479000,330.26,331.5,328.35,331.2851,1928287
1789479600,331.25,331.34,330.022,330.46,882507
1789480200,330.47,331.59,330.1,330.71,905447
1789480800,330.735,330.735,329.46,329.72,1245123
1789481400,329.73,330.31,329.41,329.6,605327
1789482000,329.615,330.27,329.29,329.54,568945
1789482600,329.45,329.66,328.88,329.36,733873
1789483200,329.34,329.98,329.255,329.61,543891
1789483800,329.6083,330.3,329.43,329.76,718136
1789484400,329.79,330.085,329.26,329.29,421138
1789485000,329.28,330.2638,329.05,330.19,1743423
1789485600,330.17,330.33,329.7,329.91,445467
1789486200,329.92,330.01,329.34,329.59,365921
1789486800,329.58,330.04,329.38,329.5,361180
1789487400,329.5,329.81,329.285,329.6,351803
1789488000,329.605,330.29,329.5,330.115,351033
1789488600,330.105,330.43,330.0,330.285,380933
1789489200,330.28,330.87,330.275,330.4191,376190
1789489800,330.4002,330.6292,330.0,330.092,366456
1789490400,330.09,330.19,329.77,330.06,349891
1789491000,330.04,330.13,329.42,329.53,329445
1789491600,329.52,329.92,329.475,329.75,517931
1789492200,329.76,329.96,329.65,329.65,223483
1789492800,329.66,330.055,329.66,330.03,251355
1789493400,330.04,330.56,330.04,330.47,324941
1789494000,330.45,330.78,330.182,330.28,301745
1789494600,330.29,330.5699,330.25,330.42,251948
1789495200,330.42,330.83,330.325,330.63,315143
1789495800,330.63,330.81,330.51,330.535,271300
1789496400,330.53,330.59,330.15,330.41,269737
1789497000,330.4,330.5,330.09,330.315,307391
1789497600,330.32,330.47,330.13,330.26,306154
1789498200,330.27,330.55,330.05,330.52,306050
1789498800,330.51,330.59,330.21,330.2699,287495
1789499400,330.265,330.3,329.83,329.915,396286
1789500000,329.915,330.29,329.855,330.24,453374
1789500600,330.24,330.24,329.85,329.89,553194
1789501200,329.88,330.41,329.85,330.265,799312
1789501800,330.26,331.76,330.25,331.34,9644521
1789565400,332.38,335.48,331.87,334.62,2628788
1789566000,334.58,335.28,333.07,334.6,1442570
1789566600,334.6,334.81,332.25,334.1216,1413198
1789567200,334.095,334.26,333.25,333.8972,765053
1789567800,333.895,334.1499,333.296,333.48,583690
1789568400,333.49,333.6767,332.71,333.2656,613563
1789569000,333.32,334.28,333.19,333.72,683962
1789569600,333.72,333.98,333.2275,333.74,340385
1789570200,333.76,334.13,333.62,334.03,346358
1789570800,334.03,334.07,333.46,333.72,398534
1789571400,333.73,333.79,333.47,333.62,284880
1789572000,333.62,333.66,332.2751,332.7,581394
1789572600,332.7001,333.09,332.58,333.02,406982
1789573200,333.015,333.57,332.82,333.0014,424622
1789573800,333.08,333.085,332.4919,332.78,427251
1789574400,332.78,333.46,332.67,333.325,267374
1789575000,333.315,333.36,332.53,332.5301,282061
1789575600,332.545,332.78,332.33,332.72,744378
1789576200,332.71,332.78,332.29,332.6148,355070
1789576800,332.62,332.98,332.52,332.655,318115
1789577400,332.655,332.7932,332.3301,332.6208,285108
1789578000,332.61,332.7965,332.38,332.67,249542
1789578600,332.7,332.9799,332.7,332.875,238344
1789579200,332.875,333.28,332.875,333.27,288741
1789579800,333.28,333.45,333.1501,333.27,345916
1789580400,333.2599,333.29,333.0,333.1,384577
1789581000,333.115,333.41,333.0301,333.32,342013
1789581600,333.34,334.328,333.08,334.2667,884063
1789582200,334.3,334.79,333.88,334.3201,650729
1789582800,334.31,334.64,334.09,334.59,527727
1789583400,334.6299,334.69,332.645,333.7,854728
1789584000,333.7,334.65,333.3601,333.69,754962
1789584600,333.69,333.69,332.05,332.11,709017
1789585200,332.11,332.6399,331.79,331.8144,828447
1789585800,331.79,331.9,330.7,330.982,795910
1789586400,331.0,331.6899,330.79,331.61,690238
1789587000,331.6,332.45,331.5787,332.151,725191
1789587600,332.18,332.21,331.495,332.13,680602
1789588200,332.16,332.59,331.95,332.41,10265360
1789651800,334.89,335.58,331.3501,332.89,2133284
1789652400,332.8775,333.0,330.74,330.9187,922915
1789653000,330.965,331.1,330.1937,330.825,1114323
1789653600,330.83,332.9694,330.75,332.7342,1018535
1789654200,332.735,333.65,332.7001,333.43,823449
1789654800,333.4499,333.88,333.1001,333.445,607654
1789655400,333.47,333.85,332.52,332.62,1353667
1789656000,332.65,332.87,332.2,332.5,391646
1789656600,332.55,332.96,332.28,332.72,447139
1789657200,332.8,333.1299,332.16,332.31,380711
1789657800,332.3499,332.49,332.01,332.46,314925
1789658400,332.445,333.19,332.395,333.14,416353
1789659000,333.13,333.62,332.87,333.5,458932
1789659600,333.5199,334.2,333.25,334.1325,470348
1789660200,334.1601,334.92,334.08,334.89,695192
1789660800,334.9,335.75,334.84,335.61,963053
1789661400,335.62,335.93,335.5,335.835,488101
1789662000,335.835,336.4,335.7401,336.09,699929
1789662600,336.03,336.2,335.6601,335.745,377816
1789663200,335.72,335.93,335.26,335.44,320771
1789663800,335.44,336.12,335.35,336.11,377474
1789664400,336.1,336.47,335.6496,335.68,485853
1789665000,335.6818,335.87,335.45,335.77,290745
1789665600,335.79,335.82,335.28,335.45,220999
1789666200,335.44,335.89,335.4,335.85,296925
1789666800,335.86,336.19,335.675,336.08,284650
1789667400,336.07,336.08,335.7201,335.9301,347398
1789668000,335.95,336.0932,335.665,335.705,284924
1789668600,335.675,335.89,335.4701,335.6325,246348
1789669200,335.64,335.88,335.46,335.7999,235345
1789669800,335.8,336.065,335.65,335.76,265214
1789670400,335.785,336.3999,335.72,336.215,529355
1789671000,336.215,336.405,336.1,336.2331,333344
1789671600,336.25,337.14,336.24,337.0,1294983
1789672200,337.01,337.47,336.9501,337.2,742508
1789672800,337.215,337.25,336.77,337.005,559905
1789673400,337.005,338.34,336.975,337.4767,1185742
1789674000,337.47,337.6799,337.26,337.465,601534
1789674600,337.48,338.08,336.83,337.0,11572920
1789738200,338.35,338.49,336.0,336.6219,9673479
1789738800,336.6,336.71,335.16,335.22,1525538
1789739400,335.215,335.6,334.81,334.99,793023
1789740000,334.97,335.5,334.53,334.6,822721
1789740600,334.6,334.87,333.13,333.42,1173197
1789741200,333.4399,333.66,333.0,333.49,950818
1789741800,333.4996,333.5,332.63,333.0735,900261
1789742400,333.07,333.46,332.53,333.36,818440
1789743000,333.36,334.11,333.165,333.945,743502
1789743600,333.96,335.09,333.6502,334.97,743819
1789744200,335.0,335.3,334.75,335.165,637454
1789744800,335.15,335.81,334.87,334.995,703284
1789745400,334.9801,335.225,334.38,334.47,540023
1789746000,334.445,334.9587,334.31,334.6204,408408
1789746600,334.625,334.89,334.535,334.78,312035
1789747200,334.78,334.93,334.46,334.82,322174
1789747800,334.81,334.89,334.52,334.765,307469
1789748400,334.78,334.82,334.2307,334.6,417583
1789749000,334.63,334.94,334.49,334.73,337699
1789749600,334.7545,334.77,334.42,334.62,305892
1789750200,334.63,334.77,334.49,334.565,562862
1789750800,334.56,335.14,334.5,334.86,386602
1789751400,334.8699,334.97,334.6804,334.86,234891
1789752000,334.8501,335.46,334.82,335.215,528219
1789752600,335.2,335.74,335.0601,335.54,396711
1789753200,335.53,335.56,335.32,335.33,252572
1789753800,335.3485,335.85,335.27,335.6,291313
1789754400,335.6,335.7291,335.4201,335.64,299355
1789755000,335.63,335.7,335.22,335.243,280446
1789755600,335.24,335.75,335.2201,335.71,392936
1789756200,335.72,335.92,335.51,335.5174,338659
