time,open,high,low,close,volume
1788255000,190.0,190.17,189.92,190.17,108513
1788255300,190.17,190.2,189.51,189.73,192964
1788255600,189.73,189.86,189.23,189.24,107314
1788255900,189.24,189.42,188.75,188.92,237700
1788256200,188.92,189.26,188.85,189.1,204472
1788256500,189.1,189.36,188.6,188.83,91853
1788256800,188.83,189.17,188.79,189.07,250145
1788257100,189.07,189.1,188.84,188.87,272165
1788257400,188.87,188.95,188.67,188.69,170435
1788257700,188.69,189.02,188.57,188.73,194714
1788258000,188.73,188.92,188.22,188.48,144800
1788258300,188.48,188.79,188.47,188.57,109742
1788258600,188.57,189.2,188.32,188.9,277143
1788258900,188.9,188.99,188.23,188.42,145638
1788259200,188.42,188.53,187.82,188.02,233977
1788259500,188.02,188.74,187.84,188.54,94862
1788259800,188.54,188.66,188.4,188.58,120765
1788260100,188.58,189.36,188.42,189.17,229467
1788260400,189.17,189.4,188.94,188.96,265430
1788260700,188.96,189.05,188.32,188.4,105307
1788261000,188.4,189.06,188.18,188.89,105738
1788261300,188.89,189.2,188.62,189.08,170285
1788261600,189.08,189.12,188.43,188.65,191289
1788261900,188.65,188.83,188.1,188.37,154700
1788262200,188.37,188.67,188.16,188.2,179372
1788262500,188.2,188.22,187.68,187.71,214481
1788262800,187.71,187.92,187.12,187.3,150864
1788263100,187.3,187.6,187.0,187.16,195024
1788263400,187.16,187.6,186.94,187.59,228706
1788263700,187.59,188.28,187.36,188.06,139174
1788264000,188.06,188.19,187.45,187.59,239292
1788264300,187.59,188.12,187.44,188.04,96832
1788264600,188.04,188.08,187.85,188.05,270638
1788264900,188.05,188.4,188.0,188.22,249887
1788265200,188.22,188.5,187.53,187.81,290777
1788265500,187.81,187.91,187.21,187.21,293557
1788265800,187.21,187.51,186.8,187.05,112770
1788266100,187.05,187.31,186.23,186.52,72453
1788266400,186.52,187.04,186.22,186.79,189645
1788266700,186.79,187.15,186.65,187.11,194127
1788267000,187.11,187.27,186.53,186.71,105521
1788267300,186.71,187.45,186.5,187.23,236895
1788267600,187.23,187.52,186.81,187.0,164845
1788267900,187.0,187.62,186.93,187.48,66784
1788268200,187.48,187.66,187.22,187.29,107728
1788268500,187.29,187.5,186.68,186.69,67668
1788268800,186.69,187.44,186.67,187.18,112391
1788269100,187.18,187.33,186.75,186.91,239622
1788269400,186.91,187.61,186.77,187.44,255683
1788269700,187.44,187.56,187.38,187.41,222748
1788270000,187.41,187.53,187.18,187.32,241122
1788270300,187.32,187.52,186.59,186.79,65889
1788270600,186.79,186.89,186.41,186.67,115183
1788270900,186.67,186.83,186.26,186.3,98100
1788271200,186.3,186.38,185.76,186.03,166164
1788271500,186.03,186.66,186.01,186.4,220955
1788271800,186.4,187.25,186.11,187.0,292841
1788272100,187.0,187.38,186.88,187.31,176185
1788272400,187.31,187.43,186.95,186.96,149345
1788272700,186.96,187.08,186.09,186.37,255816
1788273000,186.37,186.49,186.03,186.31,255353
1788273300,186.31,186.6,186.27,186.38,127780
1788273600,186.38,186.4,185.82,186.04,65979
1788273900,186.04,186.36,185.87,186.34,181819
1788274200,186.34,187.0,186.32,186.84,183124
1788274500,186.84,186.9,186.16,186.34,227002
1788274800,186.34,186.89,186.06,186.77,199336
1788275100,186.77,186.95,186.28,186.47,159897
1788275400,186.47,186.83,186.37,186.66,118358
1788275700,186.66,186.87,186.23,186.3,153752
1788276000,186.3,186.5,185.72,185.86,293536
1788276300,185.86,186.18,185.72,186.16,197585
1788276600,186.16,186.78,186.1,186.76,119520
1788276900,186.76,186.86,186.29,186.32,114037
1788277200,186.32,186.36,185.91,186.16,234428
1788277500,186.16,186.45,185.68,185.92,188658
1788277800,185.92,186.17,185.24,185.33,223903
1788278100,185.33,185.59,184.78,184.86,283232
1788278400,184.86,185.02,184.3,184.38,208552
1788278700,184.38,184.49,183.83,184.04,273585
1788279000,184.04,184.18,183.48,183.75,271801
1788279300,183.75,183.94,182.97,183.21,61557
1788279600,183.21,183.45,182.43,182.62,118670
1788279900,182.62,182.75,182.0,182.21,197038
1788280200,182.21,182.23,181.36,181.62,286959
1788280500,181.62,181.63,181.09,181.2,194841
1788280800,181.2,181.24,180.69,180.78,285662
1788281100,180.78,181.59,180.77,181.3,143797
1788281400,181.3,181.38,180.92,180.95,254502
1788281700,180.95,181.29,180.66,181.02,246471
1788282000,181.02,181.3,180.35,180.61,259685
1788282300,180.61,181.25,180.6,180.98,243085
1788282600,180.98,181.73,180.86,181.49,225612
1788282900,181.49,182.17,181.41,181.93,256405
1788283200,181.93,182.29,181.92,182.17,173388
1788283500,182.17,182.42,181.7,181.84,130003
1788283800,181.84,182.48,181.77,182.22,223023
1788284100,182.22,182.32,181.59,181.85,252722
1788284400,181.85,182.05,181.47,181.59,271160
1788284700,181.59,181.91,181.55,181.63,118475
1788285000,181.63,181.92,181.17,181.25,78417
1788285300,181.25,181.47,181.01,181.36,164398
1788285600,181.36,181.64,181.25,181.49,201149
1788285900,181.49,181.5,180.99,181.12,186293
1788286200,181.12,181.79,180.9,181.63,244497
1788286500,181.63,181.97,181.5,181.91,298741
1788286800,181.91,182.21,181.82,182.11,272302
1788287100,182.11,182.38,181.51,181.66,224821
1788287400,181.66,181.78,181.46,181.55,83367
1788287700,181.55,181.75,181.07,181.18,246118
1788288000,181.18,181.85,181.09,181.66,193638
1788288300,181.66,182.15,181.6,182.06,255981
1788288600,182.06,182.36,181.92,182.16,165909
1788288900,182.16,182.52,181.92,182.37,258673
1788289200,182.37,182.85,182.29,182.65,224025
1788289500,182.65,182.91,182.41,182.81,246906
1788289800,182.81,182.91,182.25,182.49,88627
1788290100,182.49,182.57,181.78,181.92,272753
1788290400,181.92,182.38,181.66,182.25,200908
1788290700,182.25,182.46,181.73,181.88,113959
