time,open,high,low,close,volume
1789611600,2898.6,2900.3,2898.2,2900.3,155
1789612200,2900.4,2902.2,2900.4,2901.6,236
1789612800,2901.7,2902.5,2900.5,2900.5,98
1789613400,2900.7,2900.8,2899.2,2899.4,93
1789614000,2899.4,2899.8,2898.1,2898.1,126
1789614600,2898.4,2898.8,2897.8,2898.2,114
1789615200,2898.1,2899.2,2897.2,2899.2,133
1789615800,2899.4,2900.3,2898.6,2899.9,49
1789616400,2900.2,2900.8,2900.2,2900.7,46
1789617000,2900.1,2901.0,2900.0,2900.6,42
1789617600,2900.6,2900.7,2899.5,2899.7,58
1789618200,2899.8,2899.8,2898.8,2899.0,47
1789618800,2898.8,2899.1,2898.4,2898.8,45
1789619400,2898.8,2899.6,2898.1,2899.4,106
1789620000,2899.6,2900.0,2899.5,2899.5,77
1789620600,2899.0,2899.1,2898.7,2899.1,25
1789621200,2899.0,2899.1,2898.3,2898.3,28
1789621800,2898.3,2898.3,2896.9,2896.9,72
1789622400,2897.0,2897.9,2896.4,2897.4,99
1789623000,2897.2,2897.7,2896.3,2897.3,90
1789623600,2897.4,2897.6,2896.1,2896.5,126
1789624200,2896.8,2896.8,2895.8,2896.3,80
1789624800,2896.3,2899.4,2896.2,2898.6,152
1789625400,2898.5,2898.5,2897.2,2898.1,105
1789626000,2898.3,2902.4,2897.9,2902.1,326
1789626600,2902.2,2904.2,2902.1,2902.3,344
1789627200,2902.3,2904.9,2902.3,2904.4,344
1789627800,2904.0,2904.9,2903.2,2903.9,174
1789628400,2903.7,2907.2,2902.9,2907.1,413
1789629000,2906.4,2907.1,2903.8,2903.8,201
1789629600,2903.8,2906.0,2903.1,2905.8,198
1789630200,2906.0,2906.3,2905.1,2905.9,240
1789630800,2905.6,2906.1,2904.3,2904.3,69
1789631400,2904.1,2904.1,2901.5,2902.6,140
1789632000,2902.7,2903.6,2901.3,2901.7,202
1789632600,2901.6,2901.6,2898.7,2899.6,210
1789633200,2899.5,2903.0,2899.5,2903.0,152
1789633800,2902.9,2904.1,2902.2,2903.4,210
1789634400,2903.6,2904.1,2902.4,2904.0,120
1789635000,2903.7,2905.7,2903.7,2904.1,119
1789635600,2904.5,2905.8,2903.8,2904.7,121
