time,open,high,low,close,volume
1789611600,63.745,63.75,63.705,63.73,110
1789611900,63.725,63.83,63.725,63.815,200
1789612200,63.82,63.845,63.63,63.69,502
1789612500,63.685,63.755,63.67,63.7,83
1789612800,63.705,63.9,63.65,63.885,124
1789613100,63.895,63.935,63.805,63.82,139
1789613400,63.815,63.815,63.565,63.605,159
1789613700,63.585,63.69,63.575,63.61,107
1789614000,63.635,63.76,63.62,63.755,80
1789614300,63.745,63.935,63.73,63.885,292
1789614600,63.885,63.895,63.815,63.875,102
1789614900,63.865,63.885,63.805,63.835,53
1789615200,63.85,63.885,63.815,63.88,43
1789615500,63.885,63.91,63.845,63.86,92
1789615800,63.87,64.035,63.86,64.005,232
1789616100,64.005,64.095,63.98,64.05,100
1789616400,64.08,64.17,64.065,64.145,136
1789616700,64.16,64.185,64.105,64.16,75
1789617000,64.155,64.175,64.135,64.165,37
1789617300,64.16,64.205,64.135,64.17,51
1789617600,64.165,64.165,64.135,64.15,54
1789617900,64.13,64.175,64.11,64.155,65
1789618200,64.155,64.155,64.115,64.13,40
1789618500,64.125,64.155,64.1,64.14,65
1789618800,64.11,64.17,64.09,64.115,75
1789619100,64.11,64.14,64.07,64.075,74
1789619400,64.065,64.1,64.03,64.065,50
1789619700,64.07,64.175,64.065,64.145,102
1789620000,64.145,64.22,64.115,64.195,69
1789620300,64.195,64.245,64.195,64.245,59
1789620600,64.21,64.21,64.17,64.17,28
1789620900,64.16,64.19,64.13,64.18,31
1789621200,64.185,64.21,64.18,64.21,30
1789621500,64.205,64.205,64.14,64.16,57
1789621800,64.16,64.17,64.115,64.135,50
1789622100,64.13,64.13,64.035,64.04,68
1789622400,64.045,64.045,63.945,63.97,113
1789622700,63.97,63.995,63.915,63.92,119
1789623000,63.92,64.185,63.885,64.11,443
1789623300,64.115,64.185,64.06,64.18,185
1789623600,64.18,64.185,64.1,64.135,70
1789623900,64.135,64.235,64.12,64.165,185
1789624200,64.18,64.215,64.16,64.215,50
1789624500,64.2,64.27,64.155,64.205,157
1789624800,64.21,64.225,64.145,64.18,108
1789625100,64.185,64.31,64.18,64.25,132
1789625400,64.245,64.33,64.205,64.32,99
1789625700,64.28,64.28,64.16,64.22,116
1789626000,64.24,64.26,64.205,64.225,43
1789626300,64.25,64.305,64.245,64.3,60
1789626600,64.29,64.36,64.275,64.35,145
1789626900,64.34,64.345,64.165,64.19,171
1789627200,64.18,64.28,64.17,64.245,78
1789627500,64.24,64.345,64.235,64.31,55
1789627800,64.29,64.295,64.24,64.285,46
1789628100,64.25,64.29,64.225,64.26,73
1789628400,64.265,64.285,64.235,64.275,79
1789628700,64.28,64.39,64.28,64.38,112
1789629000,64.39,64.44,64.38,64.415,194
1789629300,64.405,64.57,64.405,64.48,229
1789629600,64.475,64.56,64.415,64.525,113
1789629900,64.53,64.78,64.525,64.77,335
1789630200,64.765,64.865,64.76,64.84,180
1789630500,64.835,64.885,64.76,64.885,231
1789630800,64.88,64.9,64.8,64.82,138
1789631100,64.825,64.915,64.79,64.88,138
1789631400,64.86,64.86,64.75,64.75,88
1789631700,64.75,64.815,64.625,64.795,360
1789632000,64.8,64.805,64.72,64.765,96
1789632300,64.74,64.755,64.71,64.73,62
1789632600,64.72,64.725,64.545,64.57,146
1789632900,64.555,64.61,64.515,64.52,66
1789633200,64.525,64.545,64.51,64.53,72
1789633500,64.55,64.555,64.515,64.525,89
1789633800,64.53,64.53,64.445,64.515,150
1789634100,64.515,64.515,64.395,64.45,120
1789634400,64.425,64.425,64.31,64.31,89
1789634700,64.325,64.325,64.26,64.29,134
1789635000,64.29,64.35,64.275,64.32,99
1789635300,64.33,64.37,64.305,64.325,93
1789635600,64.335,64.375,64.33,64.36,43
1789635900,64.34,64.445,64.34,64.435,72
1789636200,64.435,64.515,64.435,64.465,110
1789636500,64.465,64.48,64.435,64.435,53
1789636800,64.415,64.455,64.395,64.44,49
1789637100,64.435,64.455,64.36,64.375,66
1789637400,64.37,64.42,64.36,64.39,68
1789637700,64.37,64.455,64.36,64.435,72
1789638000,64.42,64.445,64.41,64.445,31
1789638300,64.43,64.435,64.385,64.41,28
1789638600,64.455,64.475,64.43,64.47,38
1789638900,64.47,64.47,64.36,64.385,71
1789639200,64.385,64.41,64.355,64.375,76
1789639500,64.37,64.43,64.315,64.35,94
1789639800,64.365,64.455,64.365,64.4,80
1789640100,64.395,64.4,64.345,64.345,36
1789640400,64.355,64.44,64.355,64.435,31
1789640700,64.435,64.445,64.38,64.385,93
1789641000,64.395,64.435,64.33,64.375,86
1789641300,64.36,64.46,64.36,64.43,93
1789641600,64.425,64.465,64.395,64.465,67
1789641900,64.455,64.485,64.445,64.47,58
1789642200,64.48,64.585,64.48,64.545,132
1789642500,64.54,64.62,64.53,64.575,149
1789642800,64.58,64.67,64.545,64.635,330
1789643100,64.63,64.79,64.625,64.77,197
1789643400,64.775,64.8,64.625,64.73,281
1789643700,64.74,64.77,64.655,64.655,124
1789644000,64.65,64.81,64.65,64.735,153
1789644300,64.73,64.735,64.675,64.695,84
1789644600,64.68,64.69,64.615,64.625,85
1789644900,64.63,64.635,64.585,64.59,59
1789645200,64.6,64.625,64.555,64.58,83
1789645500,64.575,64.7,64.575,64.7,101
1789645800,64.695,64.85,64.675,64.835,204
1789646100,64.835,65.26,64.825,65.26,1134
1789646400,65.24,65.36,65.065,65.185,1009
1789646700,65.18,65.52,65.165,65.485,646
1789647000,65.48,65.745,65.42,65.715,741
1789647300,65.7,65.905,65.635,65.9,559
1789647600,65.895,66.045,65.85,65.85,605
1789647900,65.86,66.105,65.77,66.09,439
1789648200,66.075,66.075,65.755,65.89,695
1789648500,65.9,65.93,65.805,65.895,306
1789648800,65.89,65.915,65.685,65.69,304
1789649100,65.685,65.835,65.66,65.825,312
1789649400,65.83,65.985,65.83,65.98,262
1789649700,65.975,66.05,65.935,66.005,491
1789650000,65.995,66.07,65.805,65.88,1539
1789650300,65.895,66.105,65.795,65.925,773
1789650600,65.93,66.05,65.855,66.02,391
1789650900,66.025,66.25,66.025,66.125,999
1789651200,66.125,66.185,65.93,65.97,403
1789651500,65.965,65.99,65.845,65.865,356
1789651800,65.875,66.055,65.81,66.045,582
1789652100,66.06,66.165,65.845,65.845,639
1789652400,65.86,65.92,65.755,65.88,433
1789652700,65.9,66.27,65.84,66.21,757
1789653000,66.2,66.26,66.175,66.205,431
