time,open,high,low,close,volume
1786028400,322.02,323.0,320.0,321.7,2018824
1786030200,321.7,322.28,319.44,319.65,1256883
1786032000,319.75,319.9888,318.295,318.6167,1478440
1786033800,318.58,319.37,318.11,318.965,1144699
1786035600,319.0,319.45,317.71,317.91,1162905
1786037400,317.905,318.51,317.26,318.4,1096264
1786039200,318.31,319.2,317.797,318.5781,1093105
1786041000,318.555,318.96,318.2,318.75,1086704
1786042800,318.72,319.8294,318.63,318.77,1278169
1786044600,318.8,320.14,318.31,319.53,4495568
1786109400,322.335,328.92,321.2508,326.57,5928496
1786111200,326.65,328.45,322.8001,327.22,3577053
1786113000,327.17,330.7494,326.8,330.0,4793887
1786114800,330.005,333.36,329.3404,333.27,3411148
1786116600,333.2083,333.7299,331.26,331.59,2407728
1786118400,331.63,332.2623,328.33,328.875,2014652
1786120200,328.89,329.66,327.7015,327.88,1935482
1786122000,327.92,328.04,326.52,326.99,1824096
1786123800,326.98,327.8457,326.75,327.13,1513736
1786125600,327.145,328.09,326.7201,327.005,1195820
1786127400,327.0,327.75,326.77,327.6,1145652
1786129200,327.61,329.2,327.51,328.36,1460118
1786131000,328.35,328.92,326.86,328.58,6184974
1786368600,326.645,330.35,326.15,329.4529,3874047
1786370400,329.48,331.98,328.94,331.61,2797837
1786372200,331.5529,332.05,329.14,329.4999,2121718
1786374000,329.46,330.45,328.7,330.1,1450594
1786375800,330.0655,331.27,328.2,331.165,1891156
1786377600,331.16,331.75,329.997,330.5501,1381407
1786379400,330.53,330.74,328.46,329.52,1279601
1786381200,329.52,329.8,328.93,329.03,729741
1786383000,329.05,329.2557,328.42,329.0201,764091
1786384800,329.05,329.65,328.51,328.56,777105
1786386600,328.5301,329.09,328.35,328.91,801408
1786388400,328.89,329.89,328.81,329.86,1073510
1786390200,329.86,331.25,329.31,330.88,4539140
1786455000,332.99,334.08,329.53,333.755,3964892
1786456800,333.8,336.2,333.24,334.69,4011271
1786458600,334.7499,335.435,332.74,334.185,2129150
1786460400,334.2087,334.57,332.74,333.3,1414582
1786462200,333.27,333.64,332.21,332.965,1290257
1786464000,332.965,333.4108,331.27,331.5251,1167063
1786465800,331.51,332.09,331.28,331.9628,879971
1786467600,332.0,332.1895,331.22,331.838,695989
1786469400,331.86,332.2,331.5,331.94,519435
1786471200,331.945,332.52,330.41,330.72,768714
1786473000,330.6861,332.17,330.605,332.02,870739
1786474800,332.0499,332.6,331.52,331.945,851587
1786476600,331.945,333.0348,331.58,332.81,3551350
1786541400,335.0,335.5,326.92,328.0583,4794404
1786543200,328.045,328.34,325.44,325.585,2969837
1786545000,325.585,325.69,323.7,324.575,3196222
1786546800,324.58,325.58,323.98,324.362,1840040
1786548600,324.385,326.09,323.64,325.98,1974059
1786550400,325.98,327.0695,325.8,326.945,1820199
